pair,dataset,kappa,sens,spec,acc
q1+q2,NHANES(미국),0.889,0.875,0.965,0.846
q1+q2,Zenodo(중국),0.865,0.855,0.981,0.878
q1+q2,KNHANES(한국),0.855,0.878,0.971,0.86
q1+q4,NHANES(미국),0.87,0.92,0.95,0.812
q1+q4,Zenodo(중국),0.865,0.882,0.979,0.875
q1+q4,KNHANES(한국),0.83,0.926,0.955,0.825
q1+q5,NHANES(미국),0.886,0.884,0.964,0.843
q1+q5,Zenodo(중국),0.879,0.863,0.983,0.892
q1+q5,KNHANES(한국),0.854,0.884,0.97,0.859
q1+q6,NHANES(미국),0.891,0.862,0.969,0.852
q1+q6,Zenodo(중국),0.878,0.881,0.981,0.89
q1+q6,KNHANES(한국),0.861,0.87,0.975,0.868
q1+q7,NHANES(미국),0.89,0.864,0.969,0.85
q1+q7,Zenodo(중국),0.878,0.881,0.982,0.891
q1+q7,KNHANES(한국),0.856,0.834,0.977,0.869
q1+q8,NHANES(미국),0.886,0.832,0.974,0.852
q1+q8,Zenodo(중국),0.879,0.817,0.989,0.897
q1+q8,KNHANES(한국),0.854,0.817,0.979,0.871
q1+q9,NHANES(미국),0.882,0.79,0.979,0.854
q1+q9,Zenodo(중국),0.876,0.786,0.992,0.897
q1+q9,KNHANES(한국),0.857,0.827,0.978,0.872
q2+q4,NHANES(미국),0.877,0.923,0.953,0.821
q2+q4,Zenodo(중국),0.872,0.856,0.982,0.884
q2+q4,KNHANES(한국),0.839,0.925,0.958,0.835
q2+q5,NHANES(미국),0.891,0.883,0.966,0.849
q2+q5,Zenodo(중국),0.882,0.838,0.985,0.897
q2+q5,KNHANES(한국),0.859,0.882,0.972,0.865
q2+q6,NHANES(미국),0.893,0.858,0.971,0.854
q2+q6,Zenodo(중국),0.881,0.854,0.983,0.894
q2+q6,KNHANES(한국),0.863,0.862,0.976,0.872
q2+q7,NHANES(미국),0.894,0.863,0.972,0.856
q2+q7,Zenodo(중국),0.883,0.854,0.984,0.897
q2+q7,KNHANES(한국),0.859,0.83,0.979,0.874
q2+q8,NHANES(미국),0.891,0.833,0.976,0.858
q2+q8,Zenodo(중국),0.879,0.786,0.99,0.9
q2+q8,KNHANES(한국),0.858,0.813,0.981,0.875
q2+q9,NHANES(미국),0.886,0.788,0.98,0.858
q2+q9,Zenodo(중국),0.874,0.751,0.993,0.898
q2+q9,KNHANES(한국),0.859,0.821,0.98,0.875
q4+q5,NHANES(미국),0.867,0.917,0.95,0.809
q4+q5,Zenodo(중국),0.881,0.86,0.984,0.893
q4+q5,KNHANES(한국),0.828,0.917,0.955,0.825
q4+q6,NHANES(미국),0.88,0.911,0.957,0.828
q4+q6,Zenodo(중국),0.882,0.88,0.982,0.893
q4+q6,KNHANES(한국),0.845,0.919,0.962,0.844
q4+q7,NHANES(미국),0.876,0.909,0.957,0.824
q4+q7,Zenodo(중국),0.882,0.88,0.983,0.894
q4+q7,KNHANES(한국),0.841,0.889,0.964,0.846
q4+q8,NHANES(미국),0.877,0.887,0.963,0.832
q4+q8,Zenodo(중국),0.881,0.82,0.989,0.899
q4+q8,KNHANES(한국),0.842,0.878,0.967,0.85
q4+q9,NHANES(미국),0.877,0.854,0.968,0.838
q4+q9,Zenodo(중국),0.878,0.788,0.992,0.899
q4+q9,KNHANES(한국),0.845,0.886,0.966,0.851
q5+q6,NHANES(미국),0.89,0.866,0.969,0.85
q5+q6,Zenodo(중국),0.888,0.857,0.985,0.902
q5+q6,KNHANES(한국),0.859,0.864,0.976,0.869
q5+q7,NHANES(미국),0.887,0.866,0.969,0.848
q5+q7,Zenodo(중국),0.886,0.855,0.986,0.902
q5+q7,KNHANES(한국),0.853,0.827,0.977,0.869
q5+q8,NHANES(미국),0.883,0.837,0.974,0.849
q5+q8,Zenodo(중국),0.877,0.791,0.991,0.9
q5+q8,KNHANES(한국),0.852,0.813,0.979,0.871
q5+q9,NHANES(미국),0.879,0.796,0.978,0.851
q5+q9,Zenodo(중국),0.872,0.759,0.994,0.898
q5+q9,KNHANES(한국),0.855,0.824,0.979,0.872
q6+q7,NHANES(미국),0.892,0.844,0.975,0.857
q6+q7,Zenodo(중국),0.887,0.873,0.984,0.901
q6+q7,KNHANES(한국),0.856,0.808,0.981,0.875
q6+q8,NHANES(미국),0.887,0.814,0.979,0.857
q6+q8,Zenodo(중국),0.881,0.811,0.991,0.902
q6+q8,KNHANES(한국),0.853,0.788,0.983,0.876
q6+q9,NHANES(미국),0.88,0.764,0.983,0.855
q6+q9,Zenodo(중국),0.876,0.773,0.993,0.899
q6+q9,KNHANES(한국),0.855,0.797,0.983,0.876
q7+q8,NHANES(미국),0.883,0.812,0.978,0.853
q7+q8,Zenodo(중국),0.875,0.802,0.99,0.898
q7+q8,KNHANES(한국),0.843,0.745,0.985,0.873
q7+q9,NHANES(미국),0.879,0.769,0.983,0.854
q7+q9,Zenodo(중국),0.872,0.773,0.994,0.898
q7+q9,KNHANES(한국),0.849,0.76,0.984,0.875
q8+q9,NHANES(미국),0.868,0.728,0.986,0.849
q8+q9,Zenodo(중국),0.852,0.689,0.997,0.886
q8+q9,KNHANES(한국),0.844,0.741,0.986,0.874
